sigle;titre;titre_court;couleur
GIN-3580;Stage en génie industriel I;StagGIn1;
GIN-4003;Science des données en ingénierie;ScDonnIn;#5C7FA3
GIN-4021;Recherche opérationnelle avancée;RechOpAv;
GLG-1000;Planète Terre;PlanTerr;
GLO-1901;Introduction à la programmation avec Python;InProgPy;#F7A941
GLO-2004;Génie logiciel orienté objet;GLOObjet;
GLO-2005;Modèles et langages des bases de données pour l'ingénierie;ModBases;
GLO-2100;Algorithmes et structures de données pour l'ingénierie;AlgoStru;#5C7FA3
GLO-4000;Interface personne-machine;InterfPM;
GMC-1000;Dessin pour l'ingénierie;DessIngé;
GMC-1300;Initiation à la mécatronique;InitMéca;#5C7FA3
GMC-2007;Fabrication mécanique;FabrMéca;#F18289
GMC-3016;Introduction au génie maritime;InGéMari;#5C7FA3
GMC-4100;Commandes hydrauliques et pneumatiques;HydrPneu;#5C7FA3
GMC-4200;Automatisation industrielle;AutIndus;#5C7FA3
GMC-4202;Procédés et développement de produits;PrDévPro;#5C7FA3
GSC-1000;Méthodologie de design en ingénierie;MéthDesi;
GSO-2100;Introduction à la gestion de projets;GestProj;
GSO-2102;Gestion de la demande et des stocks;GestStoc;
GSO-2104;Distribution et entreposage;DistEntr;
GSO-2105;Achat et approvisionnement;AchatApp;#5C7FA3
GSO-2106;Gestion stratégique de la chaîne d'approvisionnement;GestChLo;
GSO-3103;Ingénierie de la chaîne logistique;IngChLog;#5C7FA3
GSO-3105;Opérations et logistique à l'ère de l'industrie 4.0;OpInd4.0;
IFT-1003;Analyse et conception de systèmes d'information;AnalSyst;
IFT-4102;Techniques avancées en intelligence artificielle;TechAvIA;#5C7FA3
LAN-GUES;Cours de langue selon le résultat VEPT;CourVEPT;
MAT-0130;Algèbre vectorielle;AlgVecto;#8C5A7B
MAT-0150;Calcul différentiel;CalcDiff;#8C5A7B
MAT-0260;Calcul intégral;CalcInté;#8C5A7B
MAT-1900;Mathématiques pour l'ingénierie I;MathIng1;#E76F51
MAT-1910;Mathématiques pour l'ingénierie II;MathIng2;#E76F51
MAT-2910;Analyse numérique pour l'ingénierie;AnaNumér;#E76F51
