MED-1100;Santé et sécurité au travail : notions de base;SSTrMED3;#F7A941
PHI-2910;Génie et développement durable;GénDévDu;#FFC103
PHI-3900;Éthique et professionnalisme;ÉthiProf;#7A8C4A
PHY-0150;Physique : mécanique classique;MécClass;#8C5A7B
PHY-0250;Physique : électricité et magnétisme;ÉlecMagn;#8C5A7B
PHY-1001;Physique mathématique I;PhyMatI1;#F7A941
PHY-1002;Physique mathématique II;PhyMatI2;#E76F51
PHY-1003;Mécanique et relativité restreinte;MécRelat;#0099ff
PHY-1004;Physique mathématique III;PhyMatI3;#E76F51
PHY-1005;Ondes et systèmes linéaires;OndSysLi;#0099ff
PHY-1006;Physique quantique;PhyQuant;#E76F51
PHY-1007;Électromagnétisme;ÉlectMag;#F18289
PHY-2001;Ondes électromagnétiques;OndÉlect;#F18289
PHY-3003;Physique de l'état solide;ÉtatSoli;#FFC103
PHY-3500;Physique numérique;PhyNumér;#FFC103
PHY-4000;Imagerie médicale;ImagMédi;#0099ff
STT-2920;Probabilités pour l'ingénierie;ProbIngé;#702e78
