cours complétés;
A26;;;;;;
H27;GMC-1001;MAT-1900;GMC-1024;IFT-1903;GMN-2900;GMC-1005
E27;;;;;;
A27;GMC-2003;MAT-1910;GML-1001;STT-1900;GMC-1002;GMC-1004
H28;GMC-2001;MAT-2910;ECN-4901;GMC-2008;GMC-1003
E28;GMC-2580;;;;;
A28;GMC-2002;GMC-2006;GMC-2024;GMC-3009;PHI-2910
H29;GMC-3000;OPT-ION1;GMC-2025;GMC-2007;GMC-2005
E29;;;;;;
A29;GMC-3003;GMC-3002;GMC-3024;GMC-3005;OPT-ION2
H30;GMC-3006;OPT-ION3;GMC-3025;PHI-3900;LAN-GUES
A30;OPT-ION4;OPT-ION5;GMC-3020;GMC-3034;GMC-3035
