sigle;titre;credits;prealables;url;titre_court;couleur
GEX-1000;Dispersion des polluants;3;GCI-1004;https://www.ulaval.ca/etudes/cours/gex-1000-dispersion-des-polluants;Dispdesp;#D5DBDB
GEX-1002;Génie des eaux : introduction à la profession;1;;https://www.ulaval.ca/etudes/cours/gex-1002-genie-des-eaux-introduction-a-la-profession;Génidese;#D5DBDB
GEX-1580;Stage en génie des eaux I;9;Crédits exigés : 24;https://www.ulaval.ca/etudes/cours/gex-1580-stage-en-genie-des-eaux-i;Staggéni;#D5DBDB
GEX-2001;Interventions en bassin versant;3;GGL-2600 * ET ( GCI-2009 OU GGL-2609 ) ET ( GEX-1000 OU GCI-1005);https://www.ulaval.ca/etudes/cours/gex-2001-interventions-en-bassin-versant;Intebass;#D5DBDB
GEX-2003;Production d'eau potable;3;(( CHM-1903 ET GEX-1000 ET MCB-1907 ) OU ( BIO-1003 ET GCH-1004 ));https://www.ulaval.ca/etudes/cours/gex-2003-production-deau-potable;Proddeau;#D5DBDB
GEX-2004;Traitement des eaux usées;3;(( CHM-1903 ET GEX-1000 ET MCB-1907 ) OU ( BIO-1003 ET GCH-1004 ));https://www.ulaval.ca/etudes/cours/gex-2004-traitement-des-eaux-usees;Traidese;#D5DBDB
GEX-3001;Génie côtier;3;GCI-2010 *;https://www.ulaval.ca/etudes/cours/gex-3001-genie-cotier;Génicôti;#D5DBDB
GEX-3333;Projet intégrateur en génie des eaux I;3;(ECN-2901 OU ECN-4901 ) ET GCI-1011 ET GMC-3009 ET  Crédits exigés : 72;https://www.ulaval.ca/etudes/cours/gex-3333-projet-integrateur-en-genie-des-eaux-i;Projinté;#D5DBDB
GEX-3335;Projet intégrateur en génie des eaux II;3;(ECN-2901 OU ECN-4901 ) ET GCI-1011 ET GCI-4301 ET GMC-3009 ET  Crédits exigés : 72;https://www.ulaval.ca/etudes/cours/gex-3335-projet-integrateur-en-genie-des-eaux-ii;Projinté;#D5DBDB
GEX-3500;Projet de production d'eau potable;3;GEX-2003;https://www.ulaval.ca/etudes/cours/gex-3500-projet-de-production-deau-potable;Projprod;#D5DBDB
GEX-3502;Projet de traitement d'eaux usées;3;GEX-2004;https://www.ulaval.ca/etudes/cours/gex-3502-projet-de-traitement-deaux-usees;Projtrai;#D5DBDB
GEX-4002;Hydrologie opérationnelle;3;;https://www.ulaval.ca/etudes/cours/gex-4002-hydrologie-operationnelle;Hydropér;#D5DBDB
GEX-4008;Approvisionnement en eau dans les communautés nordiques;3;GEX, Crédits exigés : 60;https://www.ulaval.ca/etudes/cours/gex-4008-approvisionnement-en-eau-dans-les-communautes-nordiques;Appreaud;#D5DBDB
GGL-2600;Hydrogéologie;3;;https://www.ulaval.ca/etudes/cours/ggl-2600-hydrogeologie;Hydrogéo;#51a27e
GGL-2601;Analyse et modélisation des systèmes naturels;3;STT-1900 *;https://www.ulaval.ca/etudes/cours/ggl-2601-analyse-et-modelisation-des-systemes-naturels;Analmodé;#D5DBDB
GGL-2609;Hydrogéologie environnementale;3;GGL-2600;https://www.ulaval.ca/etudes/cours/ggl-2609-hydrogeologie-environnementale;HydEnvir;#51a27e
GGL-4001;Projets en hydrogéologie;3;GGL-2600;https://www.ulaval.ca/etudes/cours/ggl-4001-projets-en-hydrogeologie;Projhydr;#D5DBDB
GGR-1006;Changements climatiques;3;;https://www.ulaval.ca/etudes/cours/ggr-1006-changements-climatiques;Chanclim;#D5DBDB
GGR-2307;Analyse des risques liés aux changements climatiques;3;;https://www.ulaval.ca/etudes/cours/ggr-2307-analyse-des-risques-lies-aux-changements-climatiques;Analdesr;#D5DBDB
GMC-3009;Gestion de projets en ingénierie;3;Crédits exigés : 24;https://www.ulaval.ca/etudes/cours/gmc-3009-gestion-de-projets-en-ingenierie;Gestproj;#F9E79F
GMN-2005;Environnement minier et métallurgique;3;;https://www.ulaval.ca/etudes/cours/gmn-2005-environnement-minier-et-metallurgique;Envimini;#D5DBDB
GMN-2901;Santé et sécurité en ingénierie II;2;;https://www.ulaval.ca/etudes/cours/gmn-2901-sante-et-securite-en-ingenierie-ii;SSInGMN2;#F7A941
GMN-2902;Santé et sécurité en ingénierie III;3;;https://www.ulaval.ca/etudes/cours/gmn-2902-sante-et-securite-en-ingenierie-iii;SSInGMN3;#F7A941
GSC-1000;Méthodologie de design en ingénierie;3;;https://www.ulaval.ca/etudes/cours/gsc-1000-methodologie-de-design-en-ingenierie;Méthdesi;#D5DBDB
IFT-1903;Informatique pour l'ingénierie;3;MAT-0150;https://www.ulaval.ca/etudes/cours/ift-1903-informatique-pour-lingenierie;Infopour;#AED6F1
IFT-4902;Programmation avec R pour l'analyse de données;3;;https://www.ulaval.ca/etudes/cours/ift-4902-programmation-avec-r-pour-lanalyse-de-donnees;Progavec;#AED6F1
MAT-0130;Algèbre vectorielle;3;;https://www.ulaval.ca/etudes/cours/mat-0130-algebre-vectorielle;AlgVecto;#8C5A7B
MAT-0150;Calcul différentiel;4;Préalable : mathématiques 536 ou 526 ou l'équivalent selon le programme visé. Des séances de dépannage seront offertes tout au long de la session. Les étudiants seront informés en classe de l'horaire et des locaux par leur enseignant.Cours réservé exclusivement aux étudiants inscrits aux cours compensateurs et à la majeure en scolarité préparatoire.;https://www.ulaval.ca/etudes/cours/mat-0150-calcul-differentiel;CalcDiff;#8C5A7B
MAT-0260;Calcul intégral;4;MAT-0150;https://www.ulaval.ca/etudes/cours/mat-0260-calcul-integral;CalcInté;#8C5A7B
MAT-1900;Mathématiques pour l'ingénierie I;3;MAT-0130 ET MAT-0150 ET MAT-0260;https://www.ulaval.ca/etudes/cours/mat-1900-mathematiques-pour-lingenierie-i;Mathpour;#7FB3D5
MAT-1910;Mathématiques pour l'ingénierie II;3;MAT-1900 OU MAT-1920 *;https://www.ulaval.ca/etudes/cours/mat-1910-mathematiques-pour-lingenierie-ii;Mathpour;#7FB3D5
MAT-2910;Analyse numérique pour l'ingénierie;3;( MAT-1110 OU MAT-1900 OU PHY-1002 ) ET (IFT-1001* OU IFT-1903 * OU GLO-1900* OU GLO-1901 * OU IFT 10426* OU IFT-1904 OU IFT-1004 * OU IFT-1901 * OU GAE-2010 );https://www.ulaval.ca/etudes/cours/mat-2910-analyse-numerique-pour-lingenierie;Analnumé;#7FB3D5
MCB-1907;Microbiologie pour l'ingénierie;3;;https://www.ulaval.ca/etudes/cours/mcb-1907-microbiologie-pour-lingenierie;Micrpour;#D5DBDB
MCB-4003;Bioaérosols et aérobiologie;3;;https://www.ulaval.ca/etudes/cours/mcb-4003-bioaerosols-et-aerobiologie;Bioaaéro;#D5DBDB
MED-1100;Santé et sécurité au travail : notions de base;3;;https://www.ulaval.ca/etudes/cours/med-1100-sante-et-securite-au-travail-notions-de-base;SSTrMED3;#F7A941
PHI-2910;Génie et développement durable;3;Crédits exigés : 30;https://www.ulaval.ca/etudes/cours/phi-2910-genie-et-developpement-durable;GénDévDu;#FFC103
PHI-3900;Éthique et professionnalisme;3;Crédits exigés : 60;https://www.ulaval.ca/etudes/cours/phi-3900-ethique-et-professionnalisme;ÉthiProf;#7A8C4A
PHY-0150;Physique : mécanique classique;4;Préalables : avant la réforme physique 534 ou 584 ou 5043-2 ou l'équivalent et mathématiques 536 ou 5082-2 ou l'équivalent. Depuis la réforme : physique 053-504 et mathématiques technico-sciences 064-506 ou sciences naturelles 065-506 de 5e secondaire. Trois séances de laboratoire s'ajoutent à l'horaire régulier du cours. Ces séances ont lieu le vendredi, entre 8h30 et 17h20, réparties sur toute la session. L'inscription se fera au premier cours. Cours réservé exclusivement aux étudiants inscrits aux cours compensateurs et à la majeure en scolarité préparatoire.;https://www.ulaval.ca/etudes/cours/phy-0150-physique-mecanique-classique;MécClass;#8C5A7B
PHY-0250;Physique : électricité et magnétisme;3;PHY-0150;https://www.ulaval.ca/etudes/cours/phy-0250-physique-electricite-et-magnetisme;ÉlecMagn;#8C5A7B
PLG-2104;Infrastructures végétalisées : concepts et fonction;3;BIO-1904 OU BIO-1925 OU PLG-1002 OU GEX-1000;https://www.ulaval.ca/etudes/cours/plg-2104-infrastructures-vegetalisees-concepts-et-fonction;Infrvégé;#D5DBDB
STT-1900;Méthodes statistiques pour l'ingénierie;3;MAT-0150 ET MAT-0260;https://www.ulaval.ca/etudes/cours/stt-1900-methodes-statistiques-pour-lingenierie;Méthstat;#D5DBDB
