sigle;session;section;mode;jour;heure_debut;heure_fin
GMC-1001;H21;;;;;
GMC-1001;H22;;;;;
GMC-1001;H23;;;;;
GMC-1001;H24;;;;;
GMC-1001;H25;;;;;
GMC-1001;H27;;;;;
GMC-1001;H28;;;;;
GMC-1001;H29;;;;;
GMC-1001;H30;;;;;
GMC-1001;H31;;;;;
GMC-1002;A26;A;P;1;10:30;12:20
GMC-1002;A26;A;P;2;15:30;17:20
GMC-1002;A25;A;P;1;10:30;12:20
GMC-1002;A25;A;P;2;15:30;17:20
GMC-1002;A25;A;P;5;13:30;15:20
GMC-1002;A24;A;P;1;10:30;12:20
GMC-1002;A24;A;P;2;15:30;17:20
GMC-1002;A24;A;P;5;13:30;15:20
GMC-1002;A20;;;;;
GMC-1002;A21;;;;;
GMC-1002;A22;;;;;
GMC-1002;A23;;;;;
GMC-1002;A27;;;;;
GMC-1002;A28;;;;;
GMC-1002;A29;;;;;
GMC-1002;A30;;;;;
GMC-1002;A31;;;;;
GMC-1003;H26;A;P;4;11:30;13:20
GMC-1003;H26;A;P;5;13:30;15:20
GMC-1003;H26;A;P;5;15:30;17:20
GMC-1003;H25;A;P;4;11:30;13:20
GMC-1003;H25;A;P;5;13:30;15:20
GMC-1003;H25;A;P;5;15:30;17:20
GMC-1003;H21;;;;;
GMC-1003;H22;;;;;
GMC-1003;H23;;;;;
GMC-1003;H24;;;;;
GMC-1003;H27;;;;;
GMC-1003;H28;;;;;
GMC-1003;H29;;;;;
GMC-1003;H30;;;;;
GMC-1003;H31;;;;;
GMC-1004;A26;A;P;5;11:30;13:20
GMC-1004;A20;;;;;
GMC-1004;A21;;;;;
GMC-1004;A22;;;;;
GMC-1004;A23;;;;;
GMC-1004;A24;;;;;
GMC-1004;A27;;;;;
GMC-1004;A28;;;;;
GMC-1004;A29;;;;;
GMC-1004;A30;;;;;
GMC-1004;A31;;;;;
GMC-1005;H28;;;;;
GMC-1005;H29;;;;;
GMC-1005;H30;;;;;
GMC-1005;H31;;;;;
GMC-1024;A26;A;P;1;08:30;11:20
GMC-1024;A26;A;P;2;10:30;13:20
GMC-1024;A26;B;P;1;08:30;11:20
GMC-1024;A26;B;P;3;13:30;16:20
GMC-1024;A26;C;P;1;08:30;11:20
GMC-1024;A26;C;P;4;11:30;14:20
GMC-1024;A26;D;P;1;08:30;11:20
GMC-1024;A26;D;P;4;14:30;17:20
GMC-1024;H26;A;P;1;10:30;13:20
GMC-1024;H26;A;P;3;10:30;13:20
GMC-1024;A25;A;P;1;08:30;11:20
GMC-1024;A25;A;P;2;10:30;13:20
GMC-1024;A25;B;P;1;08:30;11:20
GMC-1024;A25;B;P;3;13:30;16:20
GMC-1024;A25;C;P;1;08:30;11:20
GMC-1024;A25;C;P;4;13:30;16:20
GMC-1024;A25;D;P;1;08:30;11:20
GMC-1024;A25;D;P;1;13:30;16:20
GMC-1024;A20;;;;;
GMC-1024;A21;;;;;
GMC-1024;A22;;;;;
GMC-1024;A23;;;;;
GMC-1024;A24;;;;;
GMC-1024;A27;;;;;
GMC-1024;A28;;;;;
GMC-1024;A29;;;;;
GMC-1024;A30;;;;;
GMC-1024;A31;;;;;
GMC-1024;H21;;;;;
GMC-1024;H22;;;;;
GMC-1024;H23;;;;;
GMC-1024;H24;;;;;
GMC-1024;H25;;;;;
GMC-1024;H27;;;;;
GMC-1024;H28;;;;;
GMC-1024;H29;;;;;
GMC-1024;H30;;;;;
GMC-1024;H31;;;;;
GMC-1300;H26;;;;;
GMC-1300;H25;;;;;
GMC-1300;H21;;;;;
GMC-1300;H22;;;;;
GMC-1300;H23;;;;;
GMC-1300;H24;;;;;
GMC-1300;H27;;;;;
GMC-1300;H28;;;;;
GMC-1300;H29;;;;;
GMC-1300;H30;;;;;
GMC-1300;H31;;;;;
GMC-2001;H26;A;P;2;10:30;12:20
GMC-2001;H26;A;P;3;08:30;10:20
GMC-2001;H26;A;P;5;10:30;12:20
GMC-2001;H25;A;P;2;10:30;12:20
GMC-2001;H25;A;P;3;08:30;10:20
GMC-2001;H25;A;P;5;10:30;12:20
GMC-2001;H21;;;;;
GMC-2001;H22;;;;;
GMC-2001;H23;;;;;
GMC-2001;H24;;;;;
GMC-2001;H27;;;;;
GMC-2001;H28;;;;;
GMC-2001;H29;;;;;
GMC-2001;H30;;;;;
GMC-2001;H31;;;;;
GMC-2002;A26;A;P;1;08:30;10:20
GMC-2002;A26;A;P;1;15:30;17:20
GMC-2002;A26;A;P;3;15:30;17:20
GMC-2002;A25;A;P;1;08:30;10:20
GMC-2002;A25;A;P;1;15:30;17:20
GMC-2002;A25;A;P;3;15:30;17:20
GMC-2002;A24;A;P;1;08:30;10:20
GMC-2002;A24;A;P;1;15:30;17:20
GMC-2002;A24;A;P;3;15:30;17:20
GMC-2002;A20;;;;;
GMC-2002;A21;;;;;
GMC-2002;A22;;;;;
GMC-2002;A23;;;;;
GMC-2002;A27;;;;;
GMC-2002;A28;;;;;
GMC-2002;A29;;;;;
