CTB-1001;A24;;;;;
CTB-1001;A25;;;;;
GMC-1005;H27;;;;;
GMC-1005;H28;;;;;
GMC-1005;H29;;;;;
GMC-1005;H30;;;;;
GMC-1005;H31;;;;;
GMC-2580;A25;;;;;
GMC-3003;H27;;;0;;
GMC-3003;H28;;;0;;
GMC-3003;H29;;;0;;
GMC-3003;H30;;;0;;
GMC-3003;H31;;;0;;
GMC-3003;A22;;;0;;
GMC-3003;A23;;;0;;
GMC-3003;A24;;;0;;
GMC-3003;A25;;;0;;
GMC-3020;E27;;;;;
GMC-3034;E27;;;;;
GMC-3035;E27;;;;;
CHM-0150;A22;;;;;
CHM-0150;H23;;;;;
CHM-0150;A23;;;;;
CHM-0150;H24;;;;;
CHM-0150;A24;;;;;
CHM-0150;H25;;;;;
CHM-0150;A25;;;;;
ECN-4901;H23;;;;;
ECN-4901;E23;;;;;
ECN-4901;H24;;;;;
ECN-4901;E24;;;;;
ECN-4901;H25;;;;;
ECN-4901;E25;;;;;
ENT-1000;A22;;;;;
ENT-1000;H23;;;;;
ENT-1000;E23;;;;;
ENT-1000;A23;;;;;
ENT-1000;H24;;;;;
ENT-1000;E24;;;;;
ENT-1000;A24;;;;;
ENT-1000;H25;;;;;
ENT-1000;E25;;;;;
ENT-1000;A25;;;;;
ENT-2023;A22;;;;;
ENT-2023;A23;;;;;
ENT-2023;A24;;;;;
ENT-2023;A25;;;;;
ENT-3000;A22;;;;;
ENT-3000;H23;;;;;
ENT-3000;E23;;;;;
ENT-3000;A23;;;;;
ENT-3000;H24;;;;;
ENT-3000;E24;;;;;
ENT-3000;A24;;;;;
ENT-3000;H25;;;;;
ENT-3000;E25;;;;;
ENT-3000;A25;;;;;
ENT-3010;A22;;;;;
ENT-3010;H23;;;;;
ENT-3010;E23;;;;;
ENT-3010;A23;;;;;
ENT-3010;H24;;;;;
ENT-3010;E24;;;;;
ENT-3010;A24;;;;;
ENT-3010;H25;;;;;
ENT-3010;E25;;;;;
ENT-3010;A25;;;;;
ENT-4020;A22;;;;;
ENT-4020;H23;;;;;
ENT-4020;A23;;;;;
ENT-4020;H24;;;;;
ENT-4020;A24;;;;;
ENT-4020;H25;;;;;
ENT-4020;A25;;;;;
GAE-2005;H23;;;;;
GAE-2005;H25;;;;;
GBO-2040;H23;;;;;
GBO-2040;H24;;;;;
GBO-2040;H25;;;;;
GBO-4070;H23;;;;;
GBO-4070;H24;;;;;
GBO-4070;H25;;;;;
GCI-2004;H23;;;;;
GCI-2004;H24;;;;;
GCI-2004;H25;;;;;
GCI-2007;H23;;;;;
GCI-2007;H24;;;;;
GCI-2007;H25;;;;;
GCI-3001;A22;;;;;
GCI-3001;A23;;;;;
GCI-3001;A24;;;;;
GCI-3001;A25;;;;;
GCI-3002;A23;;;;;
GEL-1000;A22;;;;;
GEL-1000;A23;;;;;
GEL-1000;A24;;;;;
GEL-1001;H23;;;;;
GEL-1001;H24;;;;;
GEL-1001;H25;;;;;
GEL-1002;A22;;;;;
GEL-1002;A23;;;;;
GEL-1002;A24;;;;;
GEL-2000;A22;;;;;
GEL-2000;A23;;;;;
GEL-2000;A24;;;;;
GEL-2001;A22;;;;;
GEL-2001;A23;;;;;
GEL-2001;A24;;;;;
GEL-2002;H23;;;;;
GEL-2002;H24;;;;;
GEL-2002;H25;;;;;
GEL-2003;H23;;;;;
GEL-2003;H24;;;;;
GEL-2003;H25;;;;;
GEL-2005;A22;;;;;
GEL-2005;A23;;;;;
GEL-2005;A24;;;;;
