sigle;titre;credits;prealables;url;titre_court;couleur
GMC-1001;Statique des corps rigides;3;MAT-0130 ET MAT-0150 ET MAT-0260 * ET PHY-0150;https://www.ulaval.ca/etudes/cours/gmc-1001-statique-des-corps-rigides;Statique;#F18289
GMC-1002;Introduction à la thermodynamique;3;MAT-1900 * OU PHY-1002 *;https://www.ulaval.ca/etudes/cours/gmc-1002-introduction-a-la-thermodynamique;InThermo;#0099ff
GMC-1003;Introduction à la mécanique des fluides;3;MAT-1910 * OU PHY-1001 *;https://www.ulaval.ca/etudes/cours/gmc-1003-introduction-a-la-mecanique-des-fluides;InMécFlu;#0099ff
GMC-1004;Pratique du génie mécanique;1;;https://www.ulaval.ca/etudes/cours/gmc-1004-pratique-du-genie-mecanique;PratiGMC;#F7A941
GMC-1005;Communication technique et travail en équipe;1;;https://www.ulaval.ca/etudes/cours/gmc-1005-communication-technique-et-travail-en-equipe;ComTechn;#FFC103
GMC-1024;Modélisation 3D;3;;https://www.ulaval.ca/etudes/cours/gmc-1024-modelisation-3d;Modéli3D;#7A8C4A
GMC-1300;Initiation à la mécatronique;3;GAE-2010 * OU GLO-1901 * OU IFT-1004 *;https://www.ulaval.ca/etudes/cours/gmc-1300-initiation-a-la-mecatronique;InitMéca;#5C7FA3
GMC-2001;Résistance des matériaux;3;PHY-1003 OU GMC-1001;https://www.ulaval.ca/etudes/cours/gmc-2001-resistance-des-materiaux;RésMatér;#F18289
GMC-2002;Résistance des composantes de machines et des assemblages;3;GMC-2001 OU GCI-1900;https://www.ulaval.ca/etudes/cours/gmc-2002-resistance-des-composantes-de-machines-et-des-assemblages;RésCompo;#F18289
GMC-2003;Dynamique des corps rigides;3;GMC-1001 ET MAT-1910 *;https://www.ulaval.ca/etudes/cours/gmc-2003-dynamique-des-corps-rigides;DynCorps;#F18289
GMC-2005;Dynamique des fluides appliquée;3;GMC-1003;https://www.ulaval.ca/etudes/cours/gmc-2005-dynamique-des-fluides-appliquee;DynFluAp;#0099ff
GMC-2006;Équations aux dérivées partielles en génie mécanique;3;MAT-1910 ET MAT-2910 *;https://www.ulaval.ca/etudes/cours/gmc-2006-equations-aux-derivees-partielles-en-genie-mecanique;ÉqDérPar;#E76F51
GMC-2007;Fabrication mécanique;3;GML-1001 OU GIN-2120;https://www.ulaval.ca/etudes/cours/gmc-2007-fabrication-mecanique;FabrMéca;#F18289
GMC-2008;Machines thermiques;3;GMC-1002;https://www.ulaval.ca/etudes/cours/gmc-2008-machines-thermiques;MachTher;#0099ff
GMC-2024;Ingénierie et conception I;3;GMC-1024 ET  Crédits exigés : 24;https://www.ulaval.ca/etudes/cours/gmc-2024-ingenierie-et-conception-i;IngConc1;#7A8C4A
GMC-2025;Ingénierie et conception II;3;GMC-2024 *;https://www.ulaval.ca/etudes/cours/gmc-2025-ingenierie-et-conception-ii;IngConc2;#7A8C4A
GMC-2580;Stage en génie mécanique II;9;GMC-1002 ET ( GMC-3001 OU GMC-2025 ) ET  1000 à 4999 Crédits exigés : 42;https://www.ulaval.ca/etudes/cours/gmc-2580-stage-en-genie-mecanique-ii;StagGMC2;#51a27e
GMC-3000;Dynamique des vibrations;3;GMC-2003;https://www.ulaval.ca/etudes/cours/gmc-3000-dynamique-des-vibrations;DynVibra;#F18289
GMC-3002;Dynamique de la commande appliquée;3;GLO-1901 ET ( GMC-3001 OU ( GMC-1003 ET GMC-3000 ));https://www.ulaval.ca/etudes/cours/gmc-3002-dynamique-de-la-commande-appliquee;DynComAp;#702e78
GMC-3003;Éléments de transmission de puissance;3;GMC-2002;https://www.ulaval.ca/etudes/cours/gmc-3003-elements-de-transmission-de-puissance;ÉléTrPui;#F18289
GMC-3005;Transferts thermiques;3;GMC-1002 ET GMC-2005;https://www.ulaval.ca/etudes/cours/gmc-3005-transferts-thermiques;TranTher;#0099ff
GMC-3006;Introduction à la mesure et à la mécatronique;3;GMC-2001 ET GMC-2005 * ET GMC-2006 * ET GMC-3000 *;https://www.ulaval.ca/etudes/cours/gmc-3006-introduction-a-la-mesure-et-a-la-mecatronique;InMesMéc;#702e78
GMC-3009;Gestion de projets en ingénierie;3;Crédits exigés : 24;https://www.ulaval.ca/etudes/cours/gmc-3009-gestion-de-projets-en-ingenierie;GestProj;#FFC103
GMC-3012;Introduction à la mécanique du bâtiment et aux énergies renouvelables;3;GMC-3005 *;https://www.ulaval.ca/etudes/cours/gmc-3012-introduction-a-la-mecanique-du-batiment-et-aux-energies-renouvelables;InMécBât;#5C7FA3
GMC-3015;Conception intégrée des systèmes CVAC-R;3;GMC-3012;https://www.ulaval.ca/etudes/cours/gmc-3015-conception-integree-des-systemes-cvac-r;ConCVACR;#5C7FA3
GMC-3016;Introduction au génie maritime;3;Crédits exigés : 30;https://www.ulaval.ca/etudes/cours/gmc-3016-introduction-au-genie-maritime;InGéMari;#5C7FA3
GMC-3020;Investigation expérimentale en génie mécanique;3;GMC-2008 ET GMC-3000 ET GMC-3002 ET GMC-3005 ET GMC-3006;https://www.ulaval.ca/etudes/cours/gmc-3020-investigation-experimentale-en-genie-mecanique;InvExpér;#702e78
GMC-3024;Ingénierie et conception III;3;GMC-2024 * ET GML-1001;https://www.ulaval.ca/etudes/cours/gmc-3024-ingenierie-et-conception-iii;IngConc3;#7A8C4A
