cours complétés;;;;;;
H25;MAT-1900;STT-1900;GSC-1000;ECN-4901;GLO-1901;
E25;;;;;;
A25;MAT-1910;GIN-2120;GMC-1000;GIN-1500;RLT-1700;
H26;GIN-3020;LAN-GUES;GIN-3040;MAT-2910;GIN-2010;
E26;GIN-3580;;;;;
A26;GIN-3050;GSO-2100;CTB-1001;GIN-2110;GIN-3030;
H27;PHI-3900;GIN-3000;GIN-3010;RLT-3300;MQT-2100;
E27;GIN-3200;;;;;
A27;GIN-3310;GIN-3060;GIN-3080;GSO-3103;GIN-3110;
H28;GIN-3320;OPT-ION1;OPT-ION2;SCI-NATU;GIN-3220;
E28;;;;;;
A28;OPT-ION3;OPT-ION4;OPT-ION5;SAN-SÉCU;;
