;;GMC-3024;Ingénierie et conception III;3;IngConc3;#7A8C4A
;;STT-1900;Méthodes statistiques pour l'ingénierie;3;MéthStat;#E76F51
;;GMC-2007;Fabrication mécanique;3;FabrMéca;#E30513
;;GMC-3003;Éléments de transmission de puissance;3;ÉléTrPui;#E30513
;;GMC-3006;Introduction à la mesure et à la mécatronique;3;InMesMéc;#702e78
;;GMC-3025;Ingénierie et conception IV;3;IngConc4;#7A8C4A
;;GMC-3020;Investigation expérimentale en génie mécanique;3;InvExpér;#702e78
;;GMC-3034;Ingénierie et conception V;3;IngConc5;#7A8C4A
;;PHI-2910;Génie et développement durable;3;GénDévDu;#FFC103
;;GMC-3035;Ingénierie et conception VI;3;IngConc6;#7A8C4A
;;PHI-3900;Éthique et professionnalisme;3;ÉthiProf;#FFC103
;;ECN-4901;Analyse économique en ingénierie;3;AnaÉcono;#FFC103
;Stages;;;9;;
;;GMC-2580;Stage en génie mécanique II;9;StagGMC2;#51a27e
;Règle 1;;;3;;
;;GMN-2902;Santé et sécurité en ingénierie III;3;SantéSéc;#1D3557
;;MED-1100;Santé et sécurité au travail : notions de base;3;SantéSéc;#1D3557
Cheminement sans concentration;;;;18;;
;Règle 1;;;15;;
;;OPT-ION1;Cours à option à déterminer;3;OptÀDét1;#5C7FA3
;;OPT-ION2;Cours à option à déterminer;3;OptÀDét2;#5C7FA3
;;OPT-ION3;Cours à option à déterminer;3;OptÀDét3;#5C7FA3
;;OPT-ION4;Cours à option à déterminer;3;OptÀDét4;#5C7FA3
;;OPT-ION5;Cours à option à déterminer;3;OptÀDét5;#5C7FA3
;;GMC-4054;Simulations numériques des écoulements industriels;3;SimNumÉc;#5C7FA3
;;GMC-4150;Introduction à l'aérodynamique;3;InAérody;#5C7FA3
;;GMC-4151;Propulsion aéronautique et spatiale;3;PropAéro;#5C7FA3
;;GMC-4350;Turbomachines;3;TurboMac;#5C7FA3
;;PHY-2100;Sciences de l'espace;3;ScEspace;#5C7FA3
;;ENT-1000;Savoir entreprendre : la passion de créer et d'agir;3;SavEntre;#5C7FA3
;;ENT-4020;Introduction à l'entrepreneurship technologique;3;InEntrep;#5C7FA3
;;GBO-4070;Enveloppe du bâtiment;3;EnvBâtim;#5C7FA3
;;GCI-2007;Structures métalliques;3;StrucMét;#5C7FA3
;;GCI-3001;Impacts environnementaux;3;ImpEnvir;#5C7FA3
;;GEL-2003;Électrotechnique;4;Électrot;#5C7FA3
;;GEL-4100;Commande industrielle;3;CommIndu;#5C7FA3
;;GEL-4799;Dangers de l'électricité;0;DangÉlec;#5C7FA3
;;GMC-3012;Introduction à la mécanique du bâtiment et aux énergies renouvelables;3;InMécBât;#5C7FA3
;;GMC-3015;Conception intégrée des systèmes CVAC-R;3;ConCVACR;#5C7FA3
;;GML-4151;Introduction aux matériaux pour la santé;3;InMatSan;#5C7FA3
;;GIN-2010;Gestion opérationnelle des systèmes d'entreprise;3;GestOpér;#5C7FA3
;;GIN-2110;Optimisation des systèmes et des réseaux;3;OptiSyst;#5C7FA3
;;GIN-3010;Conception et implantation des systèmes de production;3;ConCVACR;#5C7FA3
;;GIN-3110;Environnement et cycle de vie des produits;3;EnvCycle;#5C7FA3
;;GIN-3220;Analyse des risques, fiabilité et maintenance;3;AnaRisqu;#5C7FA3
;;GIN-4003;Science des données en ingénierie;3;ScDonnIn;#5C7FA3
;;GSO-2105;Achat et approvisionnement;3;AchatApp;#5C7FA3
;;GSO-3103;Ingénierie de la chaîne logistique;3;IngChLog;#5C7FA3
;;GMC-4200;Automatisation industrielle;3;AutIndus;#5C7FA3
